id,timestamp_utc,session_id,mmsi,latitude,longitude,speed_knots,course_deg,heading_deg,nav_status,message_type,ship_type_code,ship_name,ship_category,hour
11828,2026-06-08 20:54:13.480630+00:00,20260608_195523,271046339,37.03246666666666,27.42804,0.1,360.0,309.0,0,PositionReport,37.0,QUEEN OF SALMAKIS,Pleasure Craft,20
11879,2026-06-08 20:54:28.025623+00:00,20260608_195523,240563500,36.61421333333333,27.13932,0.0,318.9,66.0,0,PositionReport,60.0,OLYMPIOS ERMIS,Passenger,20
11880,2026-06-08 20:54:28.376231+00:00,20260608_195523,667002547,36.44567833333333,28.231976666666664,0.0,143.0,170.0,15,PositionReport,60.0,SEA STAR DIAGORAS,Passenger,20
11901,2026-06-08 20:54:33.258458+00:00,20260608_195523,241216000,36.62726666666666,27.837466666666668,0.0,262.0,126.0,0,PositionReport,89.0,NAOUSSA,Tanker,20
11918,2026-06-08 20:54:39.877469+00:00,20260608_195523,248548000,36.66383666666666,28.04103,0.0,360.0,16.0,1,PositionReport,36.0,ROXANE,Sailing Yacht,20
11923,2026-06-08 20:54:41.166590+00:00,20260608_195523,319160400,36.59500833333333,27.94197,7.6,157.4,156.0,0,PositionReport,37.0,NEXUS,Pleasure Craft,20
11947,2026-06-08 20:54:44.952227+00:00,20260608_195523,271044329,36.53669,27.698125,8.2,110.8,111.0,0,PositionReport,70.0,KILIC,Cargo,20
11960,2026-06-08 20:54:48.758457+00:00,20260608_195523,273333500,36.50252666666667,28.252728333333334,7.4,265.1,265.0,0,PositionReport,70.0,KAPITAN VORONKOV,Cargo,20
11964,2026-06-08 20:54:49.713794+00:00,20260608_195523,636024915,36.26516,27.280115,11.9,319.8,319.0,0,PositionReport,70.0,ATLANTIC B,Cargo,20
11989,2026-06-08 20:54:55.507908+00:00,20260608_195523,271053537,37.0129,27.450375,0.0,360.0,511.0,1,PositionReport,37.0,ILLUSION 2,Pleasure Craft,20
11990,2026-06-08 20:54:56.087297+00:00,20260608_195523,636019197,36.674835,26.524,15.7,137.1,136.0,0,PositionReport,,,Unknown,20
11993,2026-06-08 20:54:57.077102+00:00,20260608_195523,518998972,37.03368833333333,27.42548833333333,0.0,0.0,511.0,5,PositionReport,37.0,ELSEA,Pleasure Craft,20
11994,2026-06-08 20:54:57.175154+00:00,20260608_195523,271002446,37.02468833333333,27.43828333333333,0.0,0.0,511.0,8,PositionReport,60.0,AKCAKOCA,Passenger,20
12001,2026-06-08 20:54:57.905023+00:00,20260608_195523,241886000,36.44870333333333,28.23258666666667,4.2,76.6,93.0,3,PositionReport,52.0,CAPTAIN DIMITRIS V,Tug,20
12003,2026-06-08 20:54:58.482305+00:00,20260608_195523,249010000,36.47904166666667,27.967805,13.3,243.6,243.0,0,PositionReport,60.0,AROYA,Passenger,20
12009,2026-06-08 20:54:59.707195+00:00,20260608_195523,538072206,36.76922666666667,28.12754,0.0,360.0,218.0,0,PositionReport,,,Unknown,20
12010,2026-06-08 20:54:59.707428+00:00,20260608_195523,273363000,36.977381666666666,27.1713,7.2,304.7,305.0,0,PositionReport,,,Unknown,20
12025,2026-06-08 20:55:03.882498+00:00,20260608_195523,305047300,36.68320833333333,26.78766,11.7,166.7,163.0,0,PositionReport,70.0,ADAM CROWN,Cargo,20
12035,2026-06-08 20:55:06.884192+00:00,20260608_195523,341608002,36.32066666666666,28.755233333333333,11.0,106.8,113.0,0,PositionReport,70.0,BON,Cargo,20
12044,2026-06-08 20:55:10.099749+00:00,20260608_195523,271005006,36.84901,28.280931666666667,0.0,265.4,511.0,5,PositionReport,69.0,MARMARIS EXPRESS,Passenger,20
12045,2026-06-08 20:55:10.353597+00:00,20260608_195523,271052890,36.55420166666667,26.817825000000003,13.5,164.0,162.0,0,PositionReport,70.0,MED BEYKOZ,Cargo,20
12063,2026-06-08 20:55:13.604238+00:00,20260608_195523,271046339,37.03248,27.42802,0.0,360.0,309.0,0,PositionReport,37.0,QUEEN OF SALMAKIS,Pleasure Craft,20
12075,2026-06-08 20:55:17.198060+00:00,20260608_195523,271044079,37.024345,27.43864333333333,0.0,295.2,511.0,15,PositionReport,60.0,M/V ASIM KAPTAN,Passenger,20
12086,2026-06-08 20:55:21.411244+00:00,20260608_195523,461000204,37.014305,27.45048833333333,0.0,206.3,262.0,5,PositionReport,37.0,WARDA,Pleasure Craft,20
12089,2026-06-08 20:55:22.174557+00:00,20260608_195523,271047044,36.72745,26.517051666666667,10.2,313.5,317.0,0,PositionReport,72.0,PARPALI,Cargo,20
12095,2026-06-09 07:31:34.073616+00:00,20260609_073132,232056776,36.613753333333335,27.13919,0.2,360.0,51.0,5,PositionReport,37.0,AIM,Pleasure Craft,7
12115,2026-06-09 07:31:39.188288+00:00,20260609_073132,538072342,36.58967833333334,28.292546666666667,8.5,270.0,270.0,0,PositionReport,36.0,ONE FORCE,Sailing Yacht,7
12120,2026-06-09 07:31:40.410122+00:00,20260609_073132,620999919,36.48001,27.788535000000003,6.6,93.8,90.0,0,PositionReport,70.0,BOLD,Cargo,7
12140,2026-06-09 07:31:43.416524+00:00,20260609_073132,538071660,37.013533333333335,27.450463333333335,0.0,291.2,287.0,1,PositionReport,37.0,M/Y GOLDEN HORN,Pleasure Craft,7
12146,2026-06-09 07:31:45.397306+00:00,20260609_073132,240192000,36.60881166666666,27.906758333333336,15.0,133.5,330.0,0,PositionReport,69.0,PANAGIA SKIADENI,Passenger,7
12166,2026-06-09 07:31:51.371865+00:00,20260609_073132,356157000,36.64777,26.546831666666666,11.5,138.1,136.0,0,PositionReport,70.0,HERO,Cargo,7
12177,2026-06-09 07:31:53.929891+00:00,20260609_073132,271050193,36.57613,28.43216,10.3,65.5,65.0,0,PositionReport,80.0,CHEM LEADER,Tanker,7
12184,2026-06-09 07:31:57.101223+00:00,20260609_073132,538072107,36.82238666666667,28.312541666666668,0.0,19.9,323.0,5,PositionReport,37.0,TURK'S,Pleasure Craft,7
12189,2026-06-09 07:31:57.554142+00:00,20260609_073132,511101443,37.03212499999999,27.426325000000002,0.0,176.5,511.0,9,PositionReport,60.0,SEA STAR KOS,Passenger,7
12203,2026-06-09 07:31:59.663735+00:00,20260609_073132,210719000,36.611250000000005,26.875316666666667,14.8,125.0,123.0,0,PositionReport,70.0,PATRIS,Cargo,7
12215,2026-06-09 07:32:02.455908+00:00,20260609_073132,271002446,37.024715,27.438103333333334,0.1,0.0,511.0,8,PositionReport,60.0,AKCAKOCA,Passenger,7
12269,2026-06-09 07:32:21.199747+00:00,20260609_073132,271002446,37.024743333333326,27.43809333333333,0.1,0.0,511.0,8,PositionReport,60.0,AKCAKOCA,Passenger,7
12272,2026-06-09 07:32:22.232391+00:00,20260609_073132,248704000,36.584285,27.864826666666666,0.1,272.4,170.0,1,PositionReport,37.0,OPTASIA,Pleasure Craft,7
12282,2026-06-09 07:32:26.645827+00:00,20260609_073132,237352400,36.418324999999996,27.387833333333333,7.2,214.9,511.0,0,PositionReport,60.0,STAVROS,Passenger,7
12312,2026-06-09 07:32:38.615963+00:00,20260609_073132,271053982,36.40056166666667,27.804003333333334,10.5,249.6,250.0,0,PositionReport,89.0,CHEM NANA,Tanker,7
12344,2026-06-09 07:32:50.905094+00:00,20260609_073132,271044344,37.03209833333334,27.427801666666667,0.0,169.0,303.0,5,PositionReport,51.0,KIYEM 6,SAR,7
12348,2026-06-09 07:32:51.469476+00:00,20260609_073132,356157000,36.64544166666667,26.549561666666666,11.4,136.8,136.0,0,PositionReport,70.0,HERO,Cargo,7
12349,2026-06-09 07:32:51.469535+00:00,20260609_073132,240344000,36.551923333333335,27.833423333333332,15.0,69.5,511.0,0,PositionReport,60.0,NIKOLAOS H,Passenger,7
12352,2026-06-09 07:32:52.221244+00:00,20260609_073132,210096000,36.50528833333333,27.494201666666665,11.6,93.2,94.0,0,PositionReport,89.0,ENERGEIA,Tanker,7
12358,2026-06-09 07:32:53.304138+00:00,20260609_073132,271001044,37.02903,27.429471666666664,0.1,220.0,511.0,1,PositionReport,37.0,BLACK SEA,Pleasure Craft,7
12370,2026-06-09 07:32:56.911391+00:00,20260609_073132,232057452,37.034533333333336,27.424691666666668,0.0,360.0,511.0,5,PositionReport,98.0,THUNDERBIRD B,Other,7
12414,2026-06-09 07:33:09.170014+00:00,20260609_073132,271053982,36.400081666666665,27.80223833333333,10.5,249.6,249.0,0,PositionReport,89.0,CHEM NANA,Tanker,7
12427,2026-06-09 07:33:13.771437+00:00,20260609_073132,271045885,37.01546,27.440148333333333,0.0,94.1,511.0,1,PositionReport,67.0,ARIELA,Passenger,7
12431,2026-06-09 07:33:14.935184+00:00,20260609_073132,271046339,37.032493333333335,27.428028333333334,0.0,360.0,308.0,0,PositionReport,37.0,QUEEN OF SALMAKIS,Pleasure Craft,7
12456,2026-06-09 07:33:20.534118+00:00,20260609_073132,240198900,36.44537166666667,28.22938,4.3,43.3,511.0,0,PositionReport,60.0,SEBECO II,Passenger,7
12461,2026-06-09 07:33:21.117266+00:00,20260609_073132,271002446,37.024676666666664,27.43809333333333,0.0,0.0,511.0,8,PositionReport,60.0,AKCAKOCA,Passenger,7
12468,2026-06-09 07:33:23.543360+00:00,20260609_073132,668116439,36.50644666666667,28.280183333333333,10.3,286.7,287.0,0,PositionReport,70.0,MANOLIS,Cargo,7
12473,2026-06-09 07:33:24.546129+00:00,20260609_073132,271043931,36.51756666666667,27.69847,9.0,64.6,511.0,0,PositionReport,36.0,KAPTAN MEHMET BUGRA,Sailing Yacht,7
12486,2026-06-09 07:33:29.044634+00:00,20260609_073132,630001184,36.44516,28.231936666666666,0.0,31.9,511.0,0,PositionReport,60.0,SEA STAR MYKONOS,Passenger,7
12487,2026-06-09 07:33:29.472975+00:00,20260609_073132,636020574,36.49058,28.075953333333334,11.5,258.6,260.0,0,PositionReport,74.0,MSC CHARLOTTE,Cargo,7
12512,2026-06-09 07:33:33.974799+00:00,20260609_073132,241677000,36.58965833333333,27.923066666666667,12.6,317.5,511.0,0,PositionReport,60.0,SIMI II,Passenger,7
12522,2026-06-09 07:33:37.123219+00:00,20260609_073132,271052907,37.012323333333335,27.437504999999998,0.0,360.0,511.0,1,PositionReport,36.0,MEIRA,Sailing Yacht,7
12527,2026-06-09 07:33:38.090533+00:00,20260609_073132,620999919,36.479785,27.793021666666668,6.8,94.3,91.0,0,PositionReport,70.0,BOLD,Cargo,7
12530,2026-06-09 07:33:38.799627+00:00,20260609_073132,271053982,36.399541666666664,27.800585,10.5,249.1,249.0,0,PositionReport,89.0,CHEM NANA,Tanker,7
12538,2026-06-09 07:33:41.405800+00:00,20260609_073132,518999195,36.81818,28.31101,0.0,289.8,6.0,0,PositionReport,37.0,QUEST R,Pleasure Craft,7
12550,2026-06-09 07:33:44.273211+00:00,20260609_073132,271050193,36.57836666666667,28.43816,10.3,65.4,65.0,0,PositionReport,80.0,CHEM LEADER,Tanker,7
12551,2026-06-09 07:33:44.541798+00:00,20260609_073132,271040635,36.6463,26.626166666666666,9.5,300.8,301.0,0,PositionReport,71.0,VIVIEN A,Cargo,7
12556,2026-06-09 07:33:45.343766+00:00,20260609_073132,240192000,36.603025,27.914275,14.9,133.7,330.0,0,PositionReport,69.0,PANAGIA SKIADENI,Passenger,7
12573,2026-06-09 07:33:51.331216+00:00,20260609_073132,356157000,36.643095,26.552265,11.4,136.1,136.0,0,PositionReport,70.0,HERO,Cargo,7
12576,2026-06-09 07:33:52.223926+00:00,20260609_073132,210096000,36.5051,27.498224999999998,11.6,93.0,94.0,0,PositionReport,89.0,ENERGEIA,Tanker,7
12601,2026-06-09 07:33:56.613182+00:00,20260609_073132,240344000,36.55253833333334,27.83892666666667,14.5,98.6,511.0,0,PositionReport,60.0,NIKOLAOS H,Passenger,7
12603,2026-06-09 07:33:57.309492+00:00,20260609_073132,511101443,37.032154999999996,27.426319999999997,0.0,176.5,511.0,9,PositionReport,60.0,SEA STAR KOS,Passenger,7
12624,2026-06-09 07:34:02.642254+00:00,20260609_073132,636019612,36.528265000000005,27.771166666666666,11.1,290.1,288.0,0,PositionReport,70.0,CS CIHAN,Cargo,7
12625,2026-06-09 07:34:03.215489+00:00,20260609_073132,511101610,36.81961,28.300381666666667,0.0,0.0,511.0,1,PositionReport,,,Unknown,7
12661,2026-06-09 07:34:14.985096+00:00,20260609_073132,271046339,37.03250333333334,27.42804,0.0,360.0,308.0,0,PositionReport,37.0,QUEEN OF SALMAKIS,Pleasure Craft,7
12667,2026-06-09 07:34:17.725424+00:00,20260609_073132,1193046,37.03301166666667,27.428818333333332,0.0,0.0,511.0,7,PositionReport,50.0,NAUTICAST,Pilot,7
12680,2026-06-09 07:34:22.901522+00:00,20260609_073132,271050193,36.579155,28.44019666666667,10.3,65.5,65.0,0,PositionReport,80.0,CHEM LEADER,Tanker,7
12696,2026-06-09 07:34:28.392301+00:00,20260609_073132,249010000,37.025015,27.438019999999998,0.0,189.4,63.0,5,PositionReport,60.0,AROYA,Passenger,7
12700,2026-06-09 07:34:29.377435+00:00,20260609_073132,636020574,36.489943333333336,28.071976666666668,11.6,258.3,259.0,0,PositionReport,74.0,MSC CHARLOTTE,Cargo,7
12720,2026-06-09 07:34:33.286955+00:00,20260609_073132,668116439,36.50722333333333,28.27618,10.3,280.6,282.0,0,PositionReport,70.0,MANOLIS,Cargo,7
